[2023-11-09 20:32:36:1657] [background-preinit] INFO  [org.hibernate.validator.internal.util.Version.<clinit>:21] - HV000001: Hibernate Validator 8.0.1.Final
[2023-11-09 20:32:44:8877] [restartedMain] INFO  [org.hibernate.jpa.internal.util.LogHelper.logPersistenceUnitInformation:31] - HHH000204: Processing PersistenceUnitInfo [name: default]
[2023-11-09 20:32:44:8995] [restartedMain] INFO  [org.hibernate.Version.logVersion:44] - HHH000412: Hibernate ORM core version 6.2.9.Final
[2023-11-09 20:32:44:9001] [restartedMain] INFO  [org.hibernate.cfg.Environment.<clinit>:191] - HHH000406: Using bytecode reflection optimizer
[2023-11-09 20:32:44:9283] [restartedMain] INFO  [org.hibernate.bytecode.internal.BytecodeProviderInitiator.buildBytecodeProvider:53] - HHH000021: Bytecode provider name : bytebuddy
[2023-11-09 20:32:44:9624] [restartedMain] INFO  [org.springframework.orm.jpa.persistenceunit.SpringPersistenceUnitInfo.addTransformer:87] - No LoadTimeWeaver setup: ignoring JPA class transformer
[2023-11-09 20:32:45:10189] [restartedMain] INFO  [org.hibernate.bytecode.internal.BytecodeProviderInitiator.buildBytecodeProvider:53] - HHH000021: Bytecode provider name : bytebuddy
[2023-11-09 20:32:46:11541] [restartedMain] INFO  [org.hibernate.engine.transaction.jta.platform.internal.JtaPlatformInitiator.initiateService:51] - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
[2023-11-09 20:32:46:11664] [restartedMain] INFO  [org.springframework.orm.jpa.AbstractEntityManagerFactoryBean.buildNativeEntityManagerFactory:437] - Initialized JPA EntityManagerFactory for persistence unit 'default'
[2023-11-09 20:32:47:12144] [restartedMain] INFO  [org.springframework.data.jpa.repository.query.QueryEnhancerFactory.<clinit>:47] - Hibernate is in classpath; If applicable, HQL parser will be used.
[2023-11-09 20:32:49:13865] [restartedMain] INFO  [org.springframework.security.web.DefaultSecurityFilterChain.<init>:54] - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@4d852dd0, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@395553b, org.springframework.security.web.context.SecurityContextHolderFilter@2313e93b, org.springframework.security.web.header.HeaderWriterFilter@113a6ad6, org.springframework.security.web.authentication.logout.LogoutFilter@23db507b, com.kakao.techcampus.wekiki._core.jwt.JWTTokenFilter@1ef875bb, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@5f39521a, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@4ecffe3f, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@203d815d, org.springframework.security.web.session.SessionManagementFilter@2eb325e, org.springframework.security.web.access.ExceptionTranslationFilter@1399dc87, org.springframework.security.web.access.intercept.AuthorizationFilter@42219fe4]
[2023-11-09 20:32:50:14902] [restartedMain] INFO  [org.springframework.boot.devtools.autoconfigure.OptionalLiveReloadServer.startServer:59] - LiveReload server is running on port 35729
[2023-11-09 20:32:50:14910] [restartedMain] INFO  [org.springframework.boot.actuate.endpoint.web.EndpointLinksResolver.<init>:58] - Exposing 1 endpoint(s) beneath base path '/actuator'
[2023-11-09 20:32:50:14998] [restartedMain] INFO  [org.apache.juli.logging.DirectJDKLog.log:173] - Starting ProtocolHandler ["http-nio-8080"]
[2023-11-09 20:32:50:15030] [restartedMain] INFO  [org.springframework.boot.web.embedded.tomcat.TomcatWebServer.start:220] - Tomcat started on port(s): 8080 (http) with context path ''
[2023-11-09 20:32:50:15053] [restartedMain] INFO  [org.springframework.boot.StartupInfoLogger.logStarted:57] - Started WekikiApplication in 14.533 seconds (process running for 16.379)
[2023-11-09 20:33:00:25400] [http-nio-8080-exec-2] INFO  [org.apache.juli.logging.DirectJDKLog.log:173] - Initializing Spring DispatcherServlet 'dispatcherServlet'
[2023-11-09 20:33:00:25401] [http-nio-8080-exec-2] INFO  [org.springframework.web.servlet.FrameworkServlet.initServletBean:532] - Initializing Servlet 'dispatcherServlet'
[2023-11-09 20:33:00:25403] [http-nio-8080-exec-2] INFO  [org.springframework.web.servlet.FrameworkServlet.initServletBean:554] - Completed initialization in 2 ms
[2023-11-09 20:33:09:34246] [SpringApplicationShutdownHook] INFO  [org.springframework.orm.jpa.AbstractEntityManagerFactoryBean.destroy:650] - Closing JPA EntityManagerFactory for persistence unit 'default'
[2023-11-09 20:33:10:34717] [SpringApplicationShutdownHook] INFO  [com.zaxxer.hikari.HikariDataSource.close:350] - HikariPool-1 - Shutdown initiated...
[2023-11-09 20:33:10:34733] [SpringApplicationShutdownHook] INFO  [com.zaxxer.hikari.HikariDataSource.close:352] - HikariPool-1 - Shutdown completed.
